mÏ€,redp,imp
130.0,65.62396009536155,-75.9718758788907
133.1,62.65983740101342,-74.9551948003915
136.21,59.69454665650551,-73.9037155262762
139.31,56.74530550683335,-72.82524666132892
142.41,53.8024933104175,-71.7169005483946
145.52,50.85912704422458,-70.56647836899056
148.62,47.93238426100288,-69.38622429641033
151.72,45.01268540483602,-68.16909858295166
154.83,42.0922356415615,-66.906745608442
157.93,39.18768861009562,-65.61082786155073
161.03,36.29194606300598,-64.26766408746097
164.14,33.393872613296026,-62.875405815023754
167.24,30.513343191370268,-61.43713048183401
170.34,27.640797405129206,-59.94718860440515
173.45,24.767137869512226,-58.39200027760623
176.55,21.91081670722201,-56.782409547577956
179.66,19.05390740608823,-55.09786412742542
182.76,16.21375338023404,-53.34848119335767
185.86,13.382781711728512,-51.512384724473506
188.97,10.550319171340561,-49.583528600940774
192.07,7.735785727472148,-47.55947190458456
195.17,4.929405006631669,-45.42298563826582
198.28,2.122629865014005,-43.14130928004652
201.38,-0.6658337147650855,-40.715128940674695
204.48,-3.446041374035076,-38.10204805384766
207.59,-6.22622438894723,-35.256040668270565
210.69,-8.988651817584014,-32.13186641934647
213.79,-11.741727370169428,-28.62983855957236
216.9,-14.495050635002144,-24.566553365968716
220.0,-17.230132237476028,-19.63800007533931
